¿¬,¿ù,temp,YD
2007,1,0.11,200701
2007,2,0.08,200702
2007,3,0.06,200703
2007,4,0.03,200704
2007,5,0.01,200705
2007,6,0.03,200706
2007,7,0.05,200707
2007,8,0.11,200708
2007,9,0.02,200709
2007,10,0.01,200710
2007,11,0.06,200711
2007,12,0.1,200712
2008,1,0.14,200801
2008,2,0.14,200802
2008,3,0.06,200803
2008,4,0.02,200804
2008,5,0.02,200805
2008,6,0.02,200806
2008,7,0.09,200807
2008,8,0.08,200808
2008,9,0.04,200809
2008,10,0.01,200810
2008,11,0.06,200811
2008,12,0.12,200812
2009,1,0.16,200901
2009,2,0.09,200902
2009,3,0.07,200903
2009,4,0.03,200904
2009,5,0.02,200905
2009,6,0.04,200906
2009,7,0.05,200907
2009,8,0.08,200908
2009,9,0.03,200909
2009,10,0.01,200910
2009,11,0.07,200911
2009,12,0.15,200912
2010,1,0.19,201001
2010,2,0.13,201002
2010,3,0.09,201003
2010,4,0.04,201004
2010,5,0.01,201005
2010,6,0.05,201006
2010,7,0.08,201007
2010,8,0.13,201008
2010,9,0.05,201009
2010,10,0.02,201010
2010,11,0.07,201011
2010,12,0.16,201012
2011,1,0.25,201101
2011,2,0.13,201102
2011,3,0.1,201103
2011,4,0.04,201104
2011,5,0.01,201105
2011,6,0.04,201106
2011,7,0.07,201107
2011,8,0.08,201108
2011,9,0.04,201109
2011,10,0.02,201110
2011,11,0.04,201111
2011,12,0.16,201112
2012,1,0.19,201201
2012,2,0.18,201202
2012,3,0.08,201203
2012,4,0.03,201204
2012,5,0.02,201205
2012,6,0.04,201206
2012,7,0.1,201207
2012,8,0.14,201208
2012,9,0.02,201209
2012,10,0.02,201210
2012,11,0.08,201211
2012,12,0.21,201212
2013,1,0.21,201301
2013,2,0.17,201302
2013,3,0.08,201303
2013,4,0.05,201304
2013,5,0.02,201305
2013,6,0.05,201306
2013,7,0.1,201307
2013,8,0.16,201308
2013,9,0.04,201309
2013,10,0.02,201310
2013,11,0.08,201311
2013,12,0.15,201312
2014,1,0.17,201401
2014,2,0.13,201402
2014,3,0.07,201403
2014,4,0.03,201404
2014,5,0.03,201405
2014,6,0.03,201406
2014,7,0.09,201407
2014,8,0.06,201408
2014,9,0.03,201409
2014,10,0.02,201410
2014,11,0.06,201411
2014,12,0.2,201412
2015,1,0.17,201501
2015,2,0.15,201502
2015,3,0.09,201503
2015,4,0.03,201504
2015,5,0.03,201505
2015,6,0.04,201506
2015,7,0.08,201507
2015,8,0.1,201508
2015,9,0.03,201509
2015,10,0.02,201510
2015,11,0.06,201511
2015,12,0.14,201512
2016,1,0.22,201601
2016,2,0.17,201602
2016,3,0.08,201603
2016,4,0.03,201604
2016,5,0.03,201605
2016,6,0.04,201606
2016,7,0.1,201607
2016,8,0.18,201608
2016,9,0.04,201609
2016,10,0.02,201610
2016,11,0.08,201611
2016,12,0.15,201612
2017,1,0.2,201701
2017,2,0.17,201702
2017,3,0.09,201703
2017,4,0.03,201704
2017,5,0.02,201705
2017,6,0.05,201706
2017,7,0.12,201707
2017,8,0.12,201708
2017,9,0.03,201709
2017,10,0.02,201710
2017,11,0.1,201711
2017,12,0.21,201712
2018,1,0.26,201801
2018,2,0.21,201802
2018,3,0.08,201803
2018,4,0.04,201804
2018,5,0.02,201805
2018,6,0.04,201806
2018,7,0.17,201807
2018,8,0.19,201808
2018,9,0.02,201809
2018,10,0.03,201810
2018,11,0.08,201811
2018,12,0.2,201812
2019,1,0.2,201901
2019,2,0.17,201902
2019,3,0.08,201903
2019,4,0.04,201904
2019,5,0.03,201905
2019,6,0.03,201906
2019,7,0.08,201907
2019,8,0.14,201908
2019,9,0.04,201909
2019,10,0.02,201910
2019,11,0.08,201911
2019,12,0.16,201912
2020,1,0.16,202001
2020,2,0.15,202002
2020,3,0.08,202003
2020,4,0.05,202004
2020,5,0.02,202005
2020,6,0.06,202006
2020,7,0.04,202007
2020,8,0.13,202008
2020,9,0.02,202009
2020,10,0.03,202010
2020,11,0.08,202011
2020,12,0.21,202012
2021,1,0.25,202101
2021,2,0.16,202102
2021,3,0.07,202103
2021,4,0.03,202104
2021,5,0.02,202105
2021,6,0.04,202106
